AAPL	S&P
-0.001450121	0.003129454
-0.045351847	-0.017864476
-0.002749934	0.007228456
0.032480417	0.014869265
0.008121211	0.011187823
0.011629066	0.003320129
-0.013685845	-0.005415471
0.004738285	0.007299652
-0.006051646	0.001687075
0.023470184	0.006441868
-0.007146584	-0.001631773
0.000246294	0.001841845
-0.018480231	-0.002924252
0.014378913	0.004694789
-0.010311935	-0.00382284
-0.022895168	-0.010573815
-0.048665576	-0.034088046
-0.034459198	-0.030747925
0.015739249	-0.003785675
-0.067602709	-0.045168174
-0.000585074	-0.00827245
0.089018327	0.045010865
-0.03227465	-0.02851053
0.045341006	0.041336351
-0.032974651	-0.034510726
-0.013369036	-0.017201002
-0.082395437	-0.079010395
0.069546389	0.048215081
-0.035347933	-0.050102857
-0.103977852	-0.099944852
0.11315748	0.088808356
-0.137708153	-0.127652141
0.043030872	0.058226287
-0.024784538	-0.053222336
-0.007691537	0.004696846
-0.065590307	-0.044327635
-0.021473066	-0.029731491
0.095605967	0.089683157
-0.005524015	0.011468999
0.051285193	0.060543829
-0.042283778	-0.034267808
0.028138272	0.032966616
-0.002042789	-0.016142382
-0.05405182	-0.045146329
0.016548892	0.022572696
-0.014475638	-0.01525286
0.083639947	0.067968231
-0.011649701	-0.001604332
0.025272416	0.033489345
0.007190161	0.014383439
0.019437475	-0.010155993
0.049269168	0.030114497
-0.009169159	-0.022276751
0.007914427	0.005799859
-0.013661664	0.026440929
-0.020974993	-0.018042794
-0.0313983	-0.031155168
0.028396564	0.022671301
-0.00388293	-0.000539564
0.028460638	0.013822111
0.000706633	0.014606872
-0.01634213	-0.005256139
0.03231716	0.026236663
0.020876745	-0.009255117
-0.016230234	-0.028460221
0.014049633	0.004240812
0.014897324	0.008999952
0.010264287	-0.007003873
0.010291846	0.011438949
0.023522857	0.016730758
0.015612781	0.000177471
-0.011493989	-0.020757791
-0.012147604	-0.017616956
0.006124606	0.011458918
-0.005929715	0.003918692
0.023287982	0.031015221
-0.005795254	-0.010539757
0.019261461	0.016513934
-0.007483426	-0.007803935
0.006417828	0.002350966
-0.006796579	0.012214262
0.004347508	0.014718493
0.000440043	-0.002110171
-0.000974526	0.004800768
0.012222864	0.003744242
0.004618711	0.008177279
0.005490038	0.013556655
-0.008649492	-0.003374383
0.02808302	0.025874066
0.005894937	0.011969668
0.031089692	-0.007829755
0.025402183	-0.005327243
-0.04920117	-0.060752759
0.008596421	0.0129763
0.012291266	0.008277851
0.026157208	0.018784885
-0.001392701	-0.003606796
0.000398148	0.000594012
-0.005730994	-0.005665482
0.025827334	0.006474056
0.021120135	0.004298191
-0.017809632	-0.026195279
0.013188227	0.01089985
-0.031207773	-0.024525217
0.022785171	0.014578908
0.008312881	0.015292334
-0.001893178	0.005009542
0	0.004531002
0.02639866	0.015756943
-0.003107788	-0.010877509
0.023023096	0.007797026
0.004291185	-0.005659625
0.001747642	0.010411813
-0.004623894	-0.009406624
0.016413043	0.013317285
0.006853777	0.009041045
-0.012381254	-0.003411918
-0.002022372	0.00284459
0.020855016	0.008371764
-0.013897784	0.001677641
0.002805237	0.00573064
-0.046584854	-0.012396345
-0.002480357	-0.006209631
0.023423793	0.00736792
-0.016563877	-0.006494444
0.018986868	0.012351783
0.012027606	-0.003757311
0.099563519	0.007641191
0.024885365	0.007155366
0.006655975	0.003605453
0.003618102	0.006409158
0.034294435	0.006407158
-0.022998152	0.000632794
0.014430173	0.002738483
-0.030191152	-0.008001047
0.032694064	0.013899456
0.017542705	-0.002049224
-0.000891574	-0.000171947
-0.002614258	0.002706209
0.008298282	0.002300729
0.001253917	-0.004414144
0.021946995	0.003153681
0.050248579	0.003435229
0.011889293	0.009993581
-0.008237544	0.003589874
0.013507394	0.010144041
-0.012026383	0.001671626
-0.001621195	0.006710014
0.033349851	-0.002197389
0.039059738	0.007496876
-0.02093609	0.015248998
-0.0834478	-0.035757587
0.000661652	-0.008166252
-0.069666265	-0.028148867
0.039111581	0.019944799
-0.033190492	-0.01774124
-0.013215852	0.000532921
0.029558772	0.012661315
0.00155917	0.005205812
-0.02995795	-0.004629658
-0.016092379	-0.008447955
-0.03223415	-0.011245565
0.029875034	-0.011638591
0.015593542	0.010463014
-0.042851138	-0.024007294
0.010216406	0.002982954
0.036829486	0.015850478
0.023588506	0.015982151
-0.007596607	-0.004824245
0.014963327	0.008219834
0.008426529	0.005278935
-0.032812634	-0.009617802
0.030326444	0.017815885
-0.029088495	-0.014086779
0.016824789	0.017256047
-0.000956334	0.007975249
0.017246264	0.008752273
0.061584743	0.016285383
-0.026885636	-0.00632688
0.000743003	-0.006645169
-0.003968618	-0.001528971
-0.014099479	0.000134919
-0.025873715	-0.016464624
0.013105734	0.004716138
-0.005461252	-0.002198097
-0.009629566	0.005205374
-0.006152785	0.003439866
8.69584E-05	-0.018764495
0.013382451	-0.003030194
-0.047418923	-0.035925571
0.03638047	0.011876501
-0.05764824	-0.012203669
-0.000827056	0.012242942
0.015236814	0.017601207
0.040024857	0.021849071
0.034878296	0.019273263
-0.001136681	-0.000287754
-0.020170091	0.011631958
-0.003013427	-0.001400783
0.029901082	0.007622761
-0.002346024	-0.010028679
0.000419353	0.013518577
0.008682671	0.011580732
-0.007593201	-0.004803476
-0.011456626	-0.011631213
0.005154895	0.003938654
-0.011018034	-0.006815716
-0.030193932	0.005620095
0.011527519	0.016032508
0.0074395	-0.001585672
0.004814673	0.002394057
0.020880131	-0.004606081
0.030361797	0.011208122
0.002929181	0.001789549
-0.001138077	-0.000624341
-0.005628324	0.008797424
0.012195233	-0.001937471
0.005077986	0.002783261
-0.021125278	-0.007980984
0.011917564	-0.001285943
-0.006757579	-0.001265761
-0.005159985	-0.004368796
0.048876178	0.012838448
-0.000547518	0.001771278
0.006939328	0.005741127
-0.015977727	-0.003517279
0.012319137	-0.003913931
0.028066954	-0.002075268
-0.007000467	0.000745533
0.007682622	0.003530337
0.035141028	0.008684695
-0.013404285	-0.002229847
-0.008563297	0.001340648
-0.007732435	0.006418197
-0.025029882	-0.014864718
0.012287861	0.007057576
-0.034241086	0.005693661
0.033553931	0.014738221
0.008594167	0.005476866
-0.023523245	-0.006576374
-0.001396552	0.000415746
0.016096473	0.002273018
-0.015242706	-0.0037605
-0.013825754	-0.007215991
0.005412435	0.008103481
0.032327858	0.013839369
0.0360024	0.000316681
0.015945939	-0.003015127
0.027307618	0.003609282
0.001677832	-0.001489946
-0.007713377	-0.02601329
-0.03561187	0.009713335
-0.038138793	-0.019500406
0.016385152	0.015924269
0.006316725	0.013802542
-0.007808746	0.001008296
0.025431567	0.01079483
-0.003102837	0.003889897
0.001096277	0.007372105
-0.006595429	-0.001114118
-0.004568881	-0.00034522
-0.00192218	0.001661075
0.001774418	0.004699921
-0.016235038	-0.000569437
-0.017801523	-0.000320451
-0.008673929	-0.004425587
0.001232668	-0.001856617
-0.030252005	-0.007762903
-0.001111721	0.001255499
-0.004060377	0.011287715
-0.035401928	-0.024783435
0.002229136	-0.004761484
0.052451282	0.02351213
-0.021114999	-0.008113671
-0.02476059	-0.013152318
-0.015938246	-0.013508038
0.010681128	0.019308364
-0.042566751	-0.005373684
0.039845196	0.014055441
-0.009208951	0.006012174
0.016368027	0.010341818
-0.007654673	0.001014883
	
	
