"days","last14cases"
"431",431,5127
"432",432,5071
"433",433,4929
"434",434,4877
"435",435,4798
"436",436,4783
"437",437,4741
"438",438,4682
"439",439,4716
"440",440,4596
"441",441,4564
"442",442,4437
"443",443,4350
"444",444,4217
"445",445,4176
"446",446,4151
"447",447,4047
"448",448,3873
"449",449,3745
"450",450,3588
"451",451,3420
"452",452,3366
"453",453,3244
"454",454,3048
"455",455,2861
"456",456,2705
"457",457,2567
"458",458,2414
"459",459,2344
"460",460,2250
"461",461,2085
"462",462,1959
"463",463,1826
"464",464,1696
"465",465,1579
"466",466,1527
"467",467,1487
"468",468,1412
"469",469,1296
"470",470,1206
"471",471,1120
"472",472,1046
"473",473,1022
"474",474,991
"475",475,921
"476",476,850
"477",477,785
"478",478,743
"479",479,710
"480",480,684
"481",481,658
"482",482,610
"483",483,566
"484",484,530
"485",485,486
"486",486,467
"487",487,457
"488",488,444
"489",489,430
"490",490,407
"491",491,388
"492",492,372
"493",493,381
"494",494,383
"495",495,391
"496",496,404
"497",497,422
"498",498,462
"499",499,491
"500",500,521
"501",501,519
"502",502,525
"503",503,533
"504",504,553
"505",505,596
"506",506,620
"507",507,645
"508",508,659
"509",509,674
"510",510,705
"511",511,760
"512",512,823
"513",513,868
"514",514,910
"515",515,976
"516",516,1021
"517",517,1159
"518",518,1274
"519",519,1432
"520",520,1549
"521",521,1732
"522",522,1818
"523",523,1870
"524",524,2010
"525",525,2145
"526",526,2281
"527",527,2436
"528",528,2575
"529",529,2610
"530",530,2690
"531",531,2784
"532",532,2956
"533",533,3108
"534",534,3212
"535",535,3255
"536",536,3331
"537",537,3408
"538",538,3544
"539",539,3599
"540",540,3698
"541",541,3787
"542",542,3763
"543",543,3738
"544",544,3910
"545",545,3998
"546",546,4091
"547",547,4121
"548",548,4189
"549",549,4223
"550",550,4350
"551",551,4442
"552",552,4443
"553",553,4564
"554",554,4681
"555",555,4699
"556",556,4831
"557",557,4985
"558",558,4879
"559",559,4895
"560",560,4945
"561",561,5008
"562",562,5197
"563",563,5366
"564",564,5365
"565",565,5378
"566",566,5492
"567",567,5609
"568",568,5646
"569",569,5832
"570",570,5870
"571",571,6077
"572",572,6231
"573",573,6304
"574",574,6505
"575",575,6627
"576",576,6633
"577",577,6783
"578",578,6918
"579",579,7040
"580",580,7362
"581",581,7581
"582",582,7862
"583",583,8061
"584",584,8410
"585",585,8573
"586",586,8746
"587",587,9178
"588",588,9537
"589",589,9897
"590",590,10305
"591",591,10728
"592",592,11078
"593",593,11410
"594",594,11875
"595",595,12356
"596",596,12624
"597",597,13170
"598",598,13668
"599",599,14160
"600",600,14441
"601",601,14646
"602",602,14943
"603",603,15501
"604",604,15869
"605",605,16445
"606",606,17415
"607",607,17974
"608",608,17903
"609",609,18702
"610",610,19637
"611",611,20037
"612",612,20691
"613",613,21449
"614",614,22039
"615",615,22510
"616",616,23473
"617",617,23913
"618",618,24025
"619",619,23907
"620",620,23070
"621",621,22577
"622",622,22473
"623",623,21806
"624",624,20993
