Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
48,2020,2021-01-03,16,17,,NYG,,DAL,W 23-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
49,2021,2021-09-12,1,1,24.215,NYG,,DEN,L 13-27,*,10,26,2.60,0,3,1,1,1.00,0,33.3%,0.33,,0,0,0,0,0,0,0,0,29,48%,0,0%,0,0%
50,2021,2021-09-16,2,2,24.219,NYG,@,WAS,L 29-30,*,13,57,4.38,0,3,2,12,6.00,0,66.7%,4.00,,0,0,0,0,0,0,0,0,58,84%,0,0%,0,0%
51,2021,2021-09-26,3,3,24.229,NYG,,ATL,L 14-17,*,16,51,3.19,1,7,6,43,7.17,0,85.7%,6.14,,1,6,0,0,0,0,0,0,60,86%,0,0%,0,0%
52,2021,2021-10-03,4,4,24.236,NYG,@,NOR,W 27-21,*,13,52,4.00,1,6,5,74,14.80,1,83.3%,12.33,,2,12,1,0,0,0,0,0,56,89%,0,0%,0,0%
53,2021,2021-10-10,5,5,24.243,NYG,@,DAL,L 20-44,*,2,9,4.50,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%
54,2021,2021-10-17,6,6,,NYG,,LAR,L 11-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2021,2021-10-24,7,7,,NYG,,CAR,W 25-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2021,2021-11-01,8,8,,NYG,@,KAN,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2021,2021-11-07,9,9,,NYG,,LVR,W 23-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2021,2021-11-22,10,11,24.286,NYG,@,TAM,L 10-30,*,6,25,4.17,0,6,6,31,5.17,0,100.0%,5.17,,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%
